crop,season,state,area,production,fertilizer,pesticide,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
27,1,29,-0.23822989924737342,-0.06301607582292885,-0.24864488311436783,-0.22229318160645675,0.3665920242707054,-0.1921539624098936,0.6778743453228455,0.4188695652471865,0.5639158184848972,1.61702537607766,-0.6408614346717305
24,2,0,-0.03198567954878565,-0.058648891873468105,0.005833780114098589,0.01155754029599752,0.947828882872674,-0.8060822967493833,0.29224188254432976,0.06862459592018029,0.9976442623856929,-1.2938051037622507,0.23049325974878335
54,2,7,0.6753988649581392,-0.05667949853346367,0.4298056135269612,0.7503759225409946,0.6269143238762204,-0.5116356380741461,-1.1804902377500914,-0.08148039093425095,0.390424440924579,-0.5344580220648827,1.682751083782974
15,1,17,-0.22677584353782365,-0.06276548357161188,-0.2349026421298606,-0.2083001203063062,-1.2088067198937036,4.366009608654061,1.6995386301953388,-1.232285290151557,-1.517980712238922,0.09833121268292395,-1.5122161290922456
38,4,1,-0.234802254942351,-0.06290745505261146,-0.24529631784924766,-0.22125490389495994,-0.4659905029158985,1.7897954458521392,0.9003546123104517,-1.0821803032971258,-1.6047264010190812,0.35144690658204664,-1.6574419114956642
27,1,0,-0.1718187962755727,-0.06294970544509157,-0.16664040584469514,-0.14691632130848942,0.947828882872674,-0.8060822967493833,0.29224188254432976,0.06862459592018029,0.9976442623856929,-1.2938051037622507,0.23049325974878335
8,1,12,-0.22475407411897047,-0.0629922599356954,-0.23277180546508705,-0.2079465243329309,0.08607230486821088,-1.3373792300776604,-0.1788928004882451,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
13,4,3,-0.2353601208681011,-0.06301089460679564,-0.2472420851987272,-0.22016734830219856,0.5191947516256623,-0.695452873573873,-0.9082790875534917,0.4188695652471865,-0.30354106931669406,-0.9141315629135668,0.8113963893624601
32,2,10,-0.23940761620173473,-0.06301918609234612,-0.25006016584719265,-0.2238967508952172,-3.3407565873526623,-0.9986459432478041,-0.856803261074007,-0.33165536902496967,-0.7372695132174897,1.237351835228976,0.08526747734536481
0,4,6,-0.23776039506399982,-0.06300955118597061,-0.24894596256319962,-0.22230060952238265,0.873771676950415,0.12870622368350093,0.627270990478606,-0.5818303471156884,-0.7372695132174897,1.61702537607766,-0.6408614346717305
20,2,7,-0.17326951144891808,-0.06287463170196661,-0.19908619960134363,-0.16914571848187251,0.7480988426580978,-0.6986693979085378,-1.3654542244221395,-0.08148039093425095,0.390424440924579,-0.5344580220648827,1.682751083782974
54,2,29,0.2947180151525493,-0.05960370224179252,0.14473140962135966,0.23493970171297354,0.41147517937510436,0.09389487411080025,0.8253220516793366,0.4188695652471865,0.5639158184848972,1.61702537607766,-0.6408614346717305
44,1,12,-0.16275710177006705,-0.06292069294435154,-0.19095875235044477,-0.16048114513864334,0.08382814711299057,-1.1134267426582016,0.010433544360030803,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
15,1,9,-0.23693876274309603,-0.06298533881637332,-0.2468630039711908,-0.22051587155250252,-0.7308011180318532,0.12225733006671033,-0.8472060730863064,-0.8320053252064071,-1.1709979571182854,0.9842361413298533,-0.9313129994785688
16,2,4,0.06784198802503842,-0.06255900864429405,0.009821100832485372,-0.0021189740260666406,0.4024985483542247,-0.4653050116970063,-0.2818444534472153,-0.33165536902496967,0.13018737458410162,-1.5469207976613735,-0.20518408746147357
27,2,26,-0.23903966208049532,-0.06301875111654891,-0.24993616897843987,-0.22321234091011738,0.3104880803902065,0.9305081000728364,0.8131074487859006,-0.7319353339701197,-1.1709979571182854,0.35144690658204664,-1.0765387818819874
44,1,20,0.02785236485578467,-0.06277320150500498,-0.02864118768003815,0.02420655644309152,0.4967531740734625,-0.04503362523077433,0.7310951150728217,-0.4817603558794009,-0.6505238244373306,-0.028226634266637383,-0.4956356522683119
2,1,9,-0.2397360053637011,-0.06301953253324656,-0.2504778925677045,-0.22392433382691765,-0.39866577025929967,-0.9683820935965258,-2.150678696143099,-0.8320053252064071,-1.1709979571182854,0.9842361413298533,-0.9313129994785688
41,0,2,0.33546201021194266,-0.06191756946778935,0.2362917193605418,0.1908873593022994,-0.3852008237279802,1.2977622923332164,1.239746078420954,-0.8320053252064071,-1.3444893346786038,0.7311204474307307,-1.2217645642854071
34,1,15,-0.1323382422489656,-0.06281268421962492,-0.11833872284973725,-0.08370801781528676,0.6224260083657805,2.562173254805651,0.24687335751156358,-0.08148039093425095,0.8241528848253746,-0.7875737159640054,0.6661706069590403
53,1,14,0.5091719639002963,-0.06227331038173266,0.5299115078491361,0.18754570297904713,0.30375560712454636,-0.38446408974893226,-1.1316318261763425,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
41,3,3,-0.09421872282135164,-0.06235654473273461,-0.09881079253890258,-0.14400675228970758,0.341906288963286,0.06499368994120262,-0.2652674923775508,0.4188695652471865,-0.30354106931669406,-0.9141315629135668,0.8113963893624601
42,2,29,-0.23917682060597525,-0.0630180543854047,-0.24967729763948093,-0.22346806050351778,0.5057298050943421,0.0371065824091349,0.723242870355613,0.4188695652471865,0.5639158184848972,1.61702537607766,-0.6408614346717305
8,1,14,-0.23799778481963818,-0.06301781187677438,-0.24848498976936767,-0.22346099492495408,0.21847761242618827,-0.6402807665132707,-1.1263969963648695,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
17,1,16,-0.2356278437591821,-0.06301074063306211,-0.24583710257399682,-0.22272848465501702,-0.8564739523241706,-0.170779128284462,0.8794152930645586,-0.9320753164426946,-1.4312350234587627,0.6045626004811693,-1.0765387818819874
54,2,7,1.5979046871925497,-0.045491070324168,2.215001244613219,2.1111800391523246,0.7054598453089184,-0.5627672835320912,-0.8253942822051686,-0.08148039093425095,0.390424440924579,-0.5344580220648827,1.682751083782974
17,3,15,-0.0815975008132467,-0.06250596084375028,-0.061119858176878906,-0.033796861425883694,0.5775428532613808,2.596509255954509,0.1971424743025701,-0.08148039093425095,0.8241528848253746,-0.7875737159640054,0.6661706069590403
47,4,12,0.1674599613147153,0.04860839099207251,0.05221953020377014,0.20961309005933892,-0.09794863105982558,-0.6949141453601855,0.43619970235983946,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
12,1,18,-0.2386334618319586,-0.06301626444075242,-0.2491202365847808,-0.22272282313373204,-0.25503967392522237,0.6890944805509126,1.0748489393595537,-1.1322152989152696,-1.6047264010190812,0.2248890596324853,-1.3669903466888258
45,1,3,-0.23448969176409384,-0.0630078382281851,-0.24413634734094142,-0.21757210694515935,0.6201818506105602,-0.5812583372195474,-0.7948577749715756,0.4188695652471865,-0.30354106931669406,-0.9141315629135668,0.8113963893624601
12,1,16,-0.23868489627901357,-0.0630159795893454,-0.2490259784607331,-0.22269614604543717,-0.9305311582464295,0.2848740258630809,1.1036405033226555,-0.9320753164426946,-1.4312350234587627,0.6045626004811693,-1.0765387818819874
